elevation,azimuth
8.397322073,333.8140772
18.72716883,163.6570934
67.69895889,277.688934
39.40789312,128.9212177
32.08241666,60.68022993
60.86884962,67.8590186
42.24037262,286.0114986
10.46948141,93.99972556
14.13824252,17.94197491
32.56017233,69.34044443
17.4402916,128.7942753
37.19111406,313.7241483
31.81825282,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
NaN,NaN
8.397322071,333.8140772
18.72716883,163.6570934
67.69895889,277.688934
39.40789312,128.9212177
60.86884961,67.8590186
42.24037262,286.0114986
10.4694814,93.99972556
14.13824252,17.94197491
32.56017233,69.34044443
17.4402916,128.7942753
37.19111405,313.7241483
31.81825281,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
8.397322069,333.8140772
18.72716883,163.6570934
67.69895889,277.688934
39.40789312,128.9212177
60.86884961,67.8590186
42.24037262,286.0114986
10.4694814,93.99972556
14.13824252,17.94197491
32.56017233,69.34044443
17.4402916,128.7942753
37.19111405,313.7241483
31.81825281,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
8.397322068,333.8140772
18.72716883,163.6570934
67.69895889,277.688934
39.40789311,128.9212177
60.86884961,67.8590186
42.24037262,286.0114986
10.4694814,93.99972556
14.13824252,17.94197491
32.56017233,69.34044443
17.44029159,128.7942753
37.19111405,313.7241483
31.81825281,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
NaN,NaN
8.397322066,333.8140772
18.72716882,163.6570934
67.69895889,277.688934
39.40789311,128.9212177
32.08241665,60.68022993
60.86884961,67.8590186
42.24037262,286.0114986
10.4694814,93.99972556
14.13824251,17.94197491
32.56017232,69.34044443
17.44029159,128.7942753
37.19111405,313.7241483
31.81825281,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
NaN,NaN
8.397322064,333.8140772
18.72716882,163.6570934
67.69895889,277.688934
39.40789311,128.9212177
32.08241665,60.68022993
60.86884961,67.8590186
42.24037262,286.0114986
10.4694814,93.99972556
14.13824251,17.94197491
32.56017232,69.34044443
17.44029159,128.7942753
37.19111405,313.7241483
31.81825281,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
NaN,NaN
8.397322062,333.8140772
18.72716882,163.6570934
67.69895889,277.688934
39.40789311,128.9212177
60.86884961,67.8590186
42.24037262,286.0114986
10.46948139,93.99972556
14.13824251,17.94197491
32.56017232,69.34044443
17.44029159,128.7942753
37.19111404,313.7241483
31.8182528,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
NaN,NaN
8.39732206,333.8140772
18.72716882,163.6570934
67.69895889,277.688934
39.40789311,128.9212177
60.86884961,67.8590186
42.24037261,286.0114986
10.46948139,93.99972556
14.13824251,17.94197491
32.56017232,69.34044443
17.44029159,128.7942753
37.19111404,313.7241483
31.8182528,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
8.397322058,333.8140772
18.72716882,163.6570934
67.69895889,277.688934
39.40789311,128.9212177
60.86884961,67.8590186
42.24037261,286.0114986
10.46948139,93.99972556
14.13824251,17.94197491
17.44029158,128.7942753
37.19111404,313.7241483
31.8182528,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
8.397322057,333.8140772
18.72716881,163.6570934
67.69895888,277.688934
39.40789311,128.9212177
32.08241664,60.68022993
60.86884961,67.8590186
42.24037261,286.0114986
10.46948139,93.99972556
14.1382425,17.94197491
17.44029158,128.7942753
37.19111404,313.7241483
31.8182528,63.85296459
71.01987233,349.7179609
NaN,NaN
NaN,NaN
8.397322055,333.8140772
18.72716881,163.6570934
67.69895888,277.688934
39.4078931,128.9212177
32.08241664,60.68022993
60.8688496,67.8590186
42.24037261,286.0114986
10.46948139,93.99972556
14.1382425,17.94197491
17.44029158,128.7942753
37.19111404,313.7241483
31.8182528,63.85296459
71.01987232,349.7179609
30.33537528,273.1075756
NaN,NaN
NaN,NaN
NaN,NaN
8.397322053,333.8140772
18.72716881,163.6570934
67.69895888,277.688934
39.4078931,128.9212177
32.08241664,60.68022993
60.8688496,67.8590186
42.24037261,286.0114986
10.46948139,93.99972556
14.1382425,17.94197491
17.44029158,128.7942753
37.19111404,313.7241483
71.01987232,349.7179609
30.33537528,273.1075756
NaN,NaN
NaN,NaN
NaN,NaN
8.397322052,333.8140772
18.72716881,163.6570934
67.69895888,277.688934
39.4078931,128.9212177
32.08241664,60.68022993
60.8688496,67.8590186
42.24037261,286.0114986
10.46948138,93.99972556
14.1382425,17.94197491
17.44029158,128.7942753
37.19111403,313.7241483
71.01987232,349.7179609
30.33537528,273.1075756
NaN,NaN
NaN,NaN
8.39732205,333.8140772
18.72716881,163.6570934
67.69895888,277.688934
39.4078931,128.9212177
60.8688496,67.8590186
42.24037261,286.0114986
10.46948138,93.99972556
14.1382425,17.94197491
17.44029158,128.7942753
43.206704,228.7577153
37.19111403,313.7241483
71.01987232,349.7179609
30.33537528,273.1075756
NaN,NaN
NaN,NaN
8.397322049,333.8140772
18.72716881,163.6570934
67.69895888,277.688934
39.4078931,128.9212177
60.8688496,67.8590186
42.2403726,286.0114986
