GPSWeek [weeks];GPSSecondsOfWeek [s];Yaw-Rate [rad/s]
1913;314670.809999943;0.0015707963267949
1913;314670.829999924;0.00139626340159546
1913;314670.849999905;0.000872664625997165
1913;314670.869999886;0.0010471975511966
1913;314670.889999866;0.0010471975511966
1913;314670.909999847;0
1913;314670.930000067;0.00122173047639603
1913;314670.950000048;0.000872664625997165
1913;314670.970000029;0.00226892802759263
1913;314670.99000001;0.00279252680319093
1913;314671.00999999;0.00174532925199433
1913;314671.029999971;0.00174532925199433
1913;314671.049999952;0.00191986217719376
1913;314671.069999933;0.00279252680319093
1913;314671.089999914;0.00139626340159546
1913;314671.109999895;0.0020943951023932
1913;314671.129999876;0.0010471975511966
1913;314671.149999857;0.0020943951023932
1913;314671.169999838;0.00122173047639603
1913;314671.190000057;0.00174532925199433
1913;314671.210000038;0.00174532925199433
1913;314671.230000019;0.000698131700797732
1913;314671.25;0.0010471975511966
1913;314671.269999981;0.000698131700797732
1913;314671.289999962;0.00191986217719376
1913;314671.309999943;0.00226892802759263
1913;314671.329999924;0.00191986217719376
1913;314671.349999905;0.000872664625997165
1913;314671.369999886;0.00244346095279206
1913;314671.389999866;0.000523598775598299
1913;314671.409999847;0.0015707963267949
1913;314671.430000067;0.00226892802759263
1913;314671.450000048;0.000872664625997165
1913;314671.470000029;0.0015707963267949
1913;314671.49000001;0.000174532925199433
1913;314671.50999999;0.00174532925199433
1913;314671.529999971;0.000698131700797732
1913;314671.549999952;0.00191986217719376
1913;314671.569999933;0.0010471975511966
1913;314671.589999914;0.00174532925199433
1913;314671.609999895;0.00244346095279206
1913;314671.629999876;0.00139626340159546
1913;314671.649999857;0.00226892802759263
1913;314671.669999838;0.0010471975511966
1913;314671.690000057;0.00226892802759263
1913;314671.710000038;0.000349065850398866
1913;314671.730000019;0.0020943951023932
1913;314671.75;0.00122173047639603
1913;314671.769999981;0.00122173047639603
1913;314671.789999962;0.00122173047639603
1913;314671.809999943;0.000349065850398866
