GPSWeek [weeks];GPSSecondsOfWeek [s];Longitude (GT Lon) [deg];Longitude Cov (GT Lon Cov) [deg];Latitude (GT Lat) [deg];Latitude Cov (GT Lat Cov) [deg];Height above ellipsoid (GT Height) [m];Height above ellipsoid Cov (GT Height Cov) [m];Heading (0° = East, counterclockwise) - (GT Heading) [rad];Heading Cov (0° = East, counterclockwise) - (GT Heading Cov) [rad];Acceleration (GT Acceleration) [ms^2];Acceleration Cov (GT Acceleration Cov) [ms^2];Velocity (GT Velocity) [m/s];Velocity Cov (GT Velocity Cov) [m/s];Yaw-Rate (GT Yaw-rate) [rad/s];Yaw-Rate Cov (GT Yaw-rate Cov) [rad/s];GPS time of week of the navigation epoch (iTOW) [ms];Longitude (lon) [deg];Latitude (lat) [deg];Height above ellipsoid (height) [m];Height above mean sea level (hMSL) [m];Horizontal accuracy estimate (hAcc) [m];Vertical accuracy estimate (vAcc) [m]
1900;130925.9;13.3962173447854;1.4003811602155E-05;52.5116592071648;7.59820226811766E-05;75.4481837682877;1.21271548355302E-05;-3.03649391961748;4.50630139126051E-06;-0.0104499510088548;0.00549262356998707;0.00221720252400376;0.000336559337139833;6.92202626289034E-05;2.23502932914493E-06;130925900;13.3962116;52.5116842;84.936;42.771;0.823;-1
1900;130926.1;13.3962173583901;1.0453325009842E-05;52.5116592349959;4.93610069873947E-05;75.4481192514583;1.21400533761101E-05;-3.03648741205773;4.50060063950097E-06;-0.00482698209270271;0.00600153918255477;0.000682026721774676;0.000374310699633396;-0.000260931525222711;2.2350291760902E-06;130926100;13.3962117;52.5116842;84.927;42.762;0.823;-1
1900;130926.3;13.3962173447846;1.27178920667713E-05;52.5116592825054;2.38532672402612E-05;75.4480904028076;1.21685900476314E-05;-3.03651139300335;4.49473443103754E-06;-0.00168350029136361;0.00576009466151558;0.000166915592866942;0.000416460034989821;6.93141636509437E-05;2.23502972532029E-06;130926300;13.3962118;52.5116841;84.909;42.745;0.823;-1
1900;130926.5;13.3962173418045;7.22988934778704E-06;52.5116592252187;1.32048641851675E-05;75.448105321806;1.22135470709298E-05;-3.03651309959951;4.48868175045858E-06;-0.000151142171713489;0.00663423945188077;-0.000300820080407359;0.000482361662934351;5.62097214572948E-05;2.2350310173244E-06;130926500;13.3962119;52.5116841;84.88;42.715;0.824;-1
1900;130926.7;13.3962173366821;9.85457102917625E-06;52.5116592369077;7.90150845739676E-05;75.4481659296523;1.22731475769732E-05;-3.03652546402147;4.48241962663909E-06;0.00493515210296493;0.00612720821690972;0.000220689658614829;0.000536336421840021;-9.55378394057646E-05;2.23503312187434E-06;130926700;13.3962119;52.5116841;84.865;42.701;0.824;-1
1900;130926.9;13.3962173631761;1.29929950429033E-05;52.5116592182523;3.75810354434782E-05;75.4482637797626;1.23434076974711E-05;-3.03648704917222;4.47592007701836E-06;0.00100528622549452;0.00607428041195895;0.000534954013782902;0.000512276062629242;0.000649648175683086;2.23503616409841E-06;130926900;13.396212;52.511684;84.842;42.677;0.825;-1
1900;130927.1;13.3962173676652;9.26827591625423E-06;52.5116592399904;4.24291327325686E-05;75.4483873604393;1.24194040661577E-05;-3.03646967798768;4.46915219215471E-06;0.0041439423823217;0.00639569195302653;0.000985060079908167;0.000378777488251921;4.43940288188631E-05;2.23504032408001E-06;130927100;13.3962121;52.511684;84.827;42.662;0.825;-1
1900;130927.3;13.3962173634223;7.93442602006994E-06;52.511659204108;2.85646941590405E-05;75.4485192879619;1.2496312592101E-05;-3.03646795666655;4.4620825637165E-06;0.00240256979134676;0.00638803860517104;0.00194678786639909;0.000323852073980266;-3.52605979395382E-05;2.23504584697184E-06;130927300;13.3962122;52.511684;84.801;42.636;0.826;-1
1900;130927.5;13.3962173411525;1.211094695777E-05;52.5116592290323;5.61169393254853E-05;75.4486398137825;1.2569789568311E-05;-3.03647504838706;4.45467194448712E-06;-0.0020193871727737;0.00579155893784433;0.00172381077201959;0.000317385337734435;-6.13242997750662E-05;2.23505305865131E-06;130927500;13.3962122;52.511684;84.788;42.624;0.826;-1
1900;130927.7;13.3962173614521;1.89389511102778E-05;52.5116592192746;5.51969849867263E-05;75.4487388092232;1.26353249045684E-05;-3.03651459174613;4.4468768788386E-06;-0.00665833385820515;0.0055782498101856;0.000113859928883393;0.000318798071405986;4.38804794567163E-06;2.23506238597114E-06;130927700;13.3962123;52.5116839;84.784;42.619;0.827;-1
1900;130927.9;13.3962173508037;1.16337260977838E-05;52.5116591663171;3.87270122216757E-05;75.448809305683;1.26890822340862E-05;-3.03652180117916;4.43864977250907E-06;-0.00750158377620361;0.00578935044131822;-0.00137802910282078;0.000323492285315754;0.000241874812180248;2.23507437769648E-06;130927900;13.3962123;52.5116838;84.775;42.611;0.827;-1
1900;130928.1;13.3962173659641;8.02759000474973E-06;52.51165915177;5.40070767867925E-05;75.4488435750776;1.27291177122184E-05;-3.03647624887311;4.42993459481844E-06;-0.00875527398817062;0.00587413232294768;-0.00300324704009391;0.000315339105831936;9.34920619568049E-05;2.23508974201141E-06;130928100;13.3962125;52.5116837;84.767;42.602;0.827;-1
1900;130928.3;13.3962173597819;7.271548544002E-06;52.5116592428019;3.8816753520581E-05;75.4488343388354;1.27563016347951E-05;-3.0364820890718;4.4206692706994E-06;-0.0151637400140318;0.00591090787330533;-0.00483466069122725;0.000322347053157995;-7.91454750009607E-05;2.23510938480209E-06;130928300;13.3962125;52.5116836;84.778;42.614;0.828;-1
1900;130928.5;13.3962174047661;8.36942000302595E-06;52.5116592512964;2.25244430454509E-06;75.4487747051411;1.277296863129E-05;-3.03649875129004;4.41078589774602E-06;-0.0057897373456055;0.0052263346051713;-0.00611005275622755;0.000317218010989179;0.000340806051548615;2.23513446706785E-06;130928500;13.3962126;52.5116835;84.772;42.607;0.828;-1
1900;130928.7;13.3962174032886;5.10289038858785E-06;52.5116592746089;2.25961539627079E-05;75.4486570351657;1.27810013892954E-05;-3.03646289844798;4.40020719827405E-06;0.0154624670608392;0.00583701473776425;-0.00509237237592913;0.000223071311815587;3.30774432808052E-06;2.23516646684553E-06;130928700;13.3962126;52.5116835;84.784;42.619;0.828;-1
1900;130928.9;13.3962174004972;4.0314795012912E-06;52.5116592684996;2.33278062196424E-05;75.4484693250244;1.27824790552528E-05;-3.03643251079687;4.3888459094199E-06;0.0194992185257128;0.00568565199474944;-0.000925614249098258;0.000181156821984572;-0.000200506704956156;2.2352072731191E-06;130928900;13.3962127;52.5116835;84.772;42.608;0.827;-1
1900;130929.1;13.3962173920152;3.81670770112738E-06;52.5116592596064;2.06494212805766E-05;75.4481947380715;1.27808243215583E-05;-3.03642431044106;4.37660416069408E-06;0.00857530534471442;0.00564398844599727;0.00196943724478767;0.000178059208234502;0.000186245475937694;2.23525929363907E-06;130929100;13.3962128;52.5116835;84.764;42.599;0.827;-1
1900;130929.3;13.3962173874299;4.13240535855841E-06;52.5116592624641;2.2075879061102E-05;75.4478145648294;1.27815704427485E-05;-3.03642566774122;4.36337347470284E-06;0.00140988587670307;0.00559350978507015;0.00310311126266707;0.00021204419360499;0.00010880552755415;2.23532559769044E-06;130929300;13.3962129;52.5116835;84.761;42.596;0.827;-1
1900;130929.5;13.3962173616032;5.58777389468859E-06;52.5116592100634;1.05350920630163E-05;75.447318800415;1.27901872956473E-05;-3.03642636782832;4.34903269697084E-06;0.00349021746110302;0.00578620843024073;0.00325999199873602;0.000244079812794842;-0.000144475606073319;2.23541009804004E-06;130929500;13.3962129;52.5116836;84.743;42.578;0.827;-1
1900;130929.7;13.3962173644411;6.91760214813617E-06;52.5116592423315;5.01283618162179E-05;75.4467066936142;1.28092901698389E-05;-3.03639477417714;4.33344517852818E-06;0.0283638660539355;0.00566480417590403;0.00678184430483472;0.000325891939809991;2.16573073760239E-05;2.23551778052075E-06;130929700;13.3962129;52.5116838;84.73;42.566;0.827;-1
