GPSWeek [weeks];GPSSecondsOfWeek [s];Yaw-Rate [rad/s]
1900;130919.850999832;0.000698131700797732
1900;130919.871000051;0
1900;130919.891000032;-0.000349065850398866
1900;130919.911000013;0
1900;130919.930999994;-0.000872664625997165
1900;130919.950999975;-0.000349065850398866
1900;130919.970999956;-0.000174532925199433
1900;130919.990999937;0.000698131700797732
1900;130920.010999918;0.000174532925199433
1900;130920.030999899;0
1900;130920.05099988;0.000523598775598299
1900;130920.070999861;0.00139626340159546
1900;130920.090999842;0.00122173047639603
1900;130920.111000061;0.000349065850398866
1900;130920.131000042;0.0015707963267949
1900;130920.151000023;0.000174532925199433
1900;130920.171000004;0.000698131700797732
1900;130920.190999985;0
1900;130920.210999966;0.000872664625997165
1900;130920.230999947;0.000523598775598299
1900;130920.250999928;0.000698131700797732
1900;130920.270999908;0.000523598775598299
1900;130920.290999889;0.000174532925199433
1900;130920.31099987;0.000523598775598299
1900;130920.330999851;0
1900;130920.350999832;0.000872664625997165
1900;130920.371000051;0.000174532925199433
1900;130920.391000032;0.0020943951023932
1900;130920.411000013;0.00122173047639603
1900;130920.430999994;-0.000523598775598299
1900;130920.450999975;-0.000872664625997165
1900;130920.470999956;-0.000174532925199433
1900;130920.490999937;0.00174532925199433
1900;130920.510999918;0.000349065850398866
1900;130920.530999899;0.00122173047639603
1900;130920.55099988;-0.00139626340159546
1900;130920.570999861;0.000349065850398866
1900;130920.590999842;0.000523598775598299
1900;130920.611000061;0.00139626340159546
1900;130920.631000042;0.0010471975511966
1900;130920.651000023;0.000872664625997165
1900;130920.671000004;0.000872664625997165
1900;130920.690999985;-0.000698131700797732
1900;130920.710999966;0.000523598775598299
1900;130920.730999947;0.000174532925199433
1900;130920.750999928;0.000523598775598299
1900;130920.770999908;0.000174532925199433
1900;130920.790999889;0.00174532925199433
1900;130920.81099987;0.00139626340159546
1900;130920.830999851;0.000698131700797732
1900;130920.850999832;0.000872664625997165
1900;130920.871000051;0
1900;130920.891000032;0.00139626340159546
1900;130920.911000013;0
1900;130920.930999994;0.000349065850398866
1900;130920.950999975;0.000174532925199433
1900;130920.970999956;0
1900;130920.990999937;0.000698131700797732
1900;130921.010999918;0.000174532925199433
1900;130921.030999899;0
1900;130921.05099988;-0.000349065850398866
1900;130921.070999861;0.000349065850398866
1900;130921.090999842;-0.000523598775598299
1900;130921.111000061;0.0010471975511966
1900;130921.131000042;0.000523598775598299
1900;130921.151000023;0.000698131700797732
1900;130921.171000004;0.0010471975511966
1900;130921.190999985;0.000872664625997165
1900;130921.210999966;0.000349065850398866
1900;130921.230999947;0.000698131700797732
1900;130921.250999928;0.000523598775598299
1900;130921.270999908;-0.000523598775598299
1900;130921.290999889;0.00226892802759263
1900;130921.31099987;0.000698131700797732
1900;130921.330999851;0.0020943951023932
1900;130921.350999832;0.0015707963267949
1900;130921.371000051;0.0010471975511966
1900;130921.391000032;0
1900;130921.411000013;0.000349065850398866
1900;130921.430999994;0.000523598775598299
1900;130921.450999975;0.000174532925199433
1900;130921.470999956;0.00174532925199433
1900;130921.490999937;0.000523598775598299
1900;130921.510999918;0.00139626340159546
1900;130921.530999899;0
1900;130921.55099988;0.000698131700797732
1900;130921.570999861;0.000174532925199433
1900;130921.590999842;0
1900;130921.611000061;0.00139626340159546
1900;130921.631000042;0.000698131700797732
1900;130921.651000023;0.0015707963267949
1900;130921.671000004;0
1900;130921.690999985;0.00139626340159546
