GPSWeek [weeks];GPSSecondsOfWeek [s];Yaw-Rate [rad/s]
1913;383114.292999983;0.00471238898038469
1913;383114.312999964;0.00383972435438753
1913;383114.332999945;0.00453785605518526
1913;383114.352999926;0.00366519142918809
1913;383114.372999907;0.00506145483078356
1913;383114.392999887;0.00383972435438753
1913;383114.412999868;0.00366519142918809
1913;383114.432999849;0.00366519142918809
1913;383114.45299983;0.00418879020478639
1913;383114.47300005;0.00453785605518526
1913;383114.493000031;0.00436332312998582
1913;383114.513000011;0.00506145483078356
1913;383114.532999992;0.00349065850398866
1913;383114.552999973;0.00541052068118242
1913;383114.572999954;0.00418879020478639
1913;383114.592999935;0.00418879020478639
1913;383114.612999916;0.00418879020478639
1913;383114.632999897;0.00331612557878923
1913;383114.652999878;0.00453785605518526
1913;383114.672999859;0.00331612557878923
1913;383114.69299984;0.00436332312998582
1913;383114.713000059;0.00314159265358979
1913;383114.73300004;0.00366519142918809
1913;383114.753000021;0.00314159265358979
1913;383114.773000002;0.00314159265358979
1913;383114.792999983;0.00279252680319093
1913;383114.812999964;0.00296705972839036
1913;383114.832999945;0.00383972435438753
1913;383114.852999926;0.00296705972839036
1913;383114.872999907;0.00453785605518526
1913;383114.892999887;0.00296705972839036
1913;383114.912999868;0.00506145483078356
1913;383114.932999849;0.00366519142918809
1913;383114.95299983;0.00506145483078356
1913;383114.97300005;0.00366519142918809
1913;383114.993000031;0.00279252680319093
1913;383115.013000011;0.00366519142918809
1913;383115.032999992;0.00349065850398866
1913;383115.052999973;0.00436332312998582
1913;383115.072999954;0.00436332312998582
1913;383115.092999935;0.00453785605518526
1913;383115.112999916;0.00418879020478639
1913;383115.132999897;0.00506145483078356
1913;383115.152999878;0.00366519142918809
1913;383115.172999859;0.00418879020478639
1913;383115.19299984;0.00366519142918809
1913;383115.213000059;0.00453785605518526
1913;383115.23300004;0.00453785605518526
1913;383115.253000021;0.00349065850398866
1913;383115.273000002;0.00488692190558412
1913;383115.292999983;0.00349065850398866
1913;383115.312999964;0.00471238898038469
1913;383115.332999945;0.00541052068118242
1913;383115.352999926;0.00331612557878923
1913;383115.372999907;0.00471238898038469
1913;383115.392999887;0.00383972435438753
1913;383115.412999868;0.00453785605518526
1913;383115.432999849;0.00314159265358979
1913;383115.45299983;0.00418879020478639
1913;383115.47300005;0.00331612557878923
1913;383115.493000031;0.00401425727958696
